"Volcano.Number","Volcano.Name","Country","Region","Subregion","Primary.Volcano.Type","Major.Rock.1","Major.Rock.2","Population.within.30.km","Elevation","avg.VEI","Latitude","Longitude","eruption_count"
321030,"Rainier","United States","Canada and Western USA","USA (Washington)","Stratovolcano","Andesite / Basaltic Andesite",NA,3187,4392,1,46.853,-121.76,1
321050,"St. Helens","United States","Canada and Western USA","USA (Washington)","Stratovolcano","Dacite","Andesite / Basaltic Andesite",2221,2549,2.83333333333333,46.2,-122.18,6
322010,"Hood","United States","Canada and Western USA","USA (Oregon)","Stratovolcano","Andesite / Basaltic Andesite",NA,9721,3426,2,45.374,-121.695,1
323080,"Lassen Volcanic Center","United States","Canada and Western USA","USA (California)","Stratovolcano","Andesite / Basaltic Andesite","Dacite",2340,3187,3,40.492,-121.508,1
331020,"CoAxial Segment","Undersea Features","Hawaii and Pacific Ocean","Pacific Ocean (northern)","Submarine","Basalt / Picro-Basalt",NA,0,-2400,0,46.52,-129.58,1
331021,"Axial Seamount","Undersea Features","Hawaii and Pacific Ocean","Pacific Ocean (northern)","Submarine","Basalt / Picro-Basalt",NA,0,-1410,0,45.95,-130,1
331031,"North Gorda Ridge","Undersea Features","Hawaii and Pacific Ocean","Pacific Ocean (northern)","Submarine","Basalt / Picro-Basalt",NA,0,-3000,0,42.67,-126.78,1
332000,"Loihi","United States","Hawaii and Pacific Ocean","Hawaiian Islands","Submarine","Basalt / Picro-Basalt",NA,0,-975,0,18.92,-155.27,1
332010,"Kilauea","United States","Hawaii and Pacific Ocean","Hawaiian Islands","Shield","Basalt / Picro-Basalt",NA,8495,1222,0.203703703703704,19.421,-155.287,54
332020,"Mauna Loa","United States","Hawaii and Pacific Ocean","Hawaiian Islands","Shield","Basalt / Picro-Basalt",NA,1906,4170,0.257142857142857,19.475,-155.608,35
333010,"Teahitia","France","Hawaii and Pacific Ocean","Pacific Ocean (central)","Submarine","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",0,-1743,0,-17.564,-148.821,4
333020,"Rocard","France","Hawaii and Pacific Ocean","Pacific Ocean (central)","Submarine","Trachyte / Trachyandesite","Basalt / Picro-Basalt",0,-2515,0,-17.662,-148.586,2
333030,"Moua Pihaa","France","Hawaii and Pacific Ocean","Pacific Ocean (central)","Submarine","Trachybasalt / Tephrite Basanite",NA,0,-312,0,-18.325,-148.525,2
333060,"Macdonald","Undersea Features","Hawaii and Pacific Ocean","Pacific Ocean (central)","Submarine","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",0,-39,0,-28.98,-140.25,10
334050,"Unnamed","Undersea Features","Hawaii and Pacific Ocean","Pacific Ocean (eastern)","Submarine","Basalt / Picro-Basalt",NA,0,-2500,0,9.83,-104.3,1
341020,"B?rcena","Mexico","M_xico and Central America","Mexico","Pyroclastic cone(s)","Trachyte / Trachyandesite","Trachybasalt / Tephrite Basanite",0,332,3,19.3,-110.82,1
341021,"Socorro","Mexico","M_xico and Central America","Mexico","Shield","Trachyte / Trachyandesite","Rhyolite",0,1050,1,18.78,-110.95,2
341040,"Colima","Mexico","M_xico and Central America","Mexico","Stratovolcano(es)","Andesite / Basaltic Andesite",NA,303490,3850,NA,19.514,-103.62,17
341060,"Michoac?n-Guanajuato","Mexico","M_xico and Central America","Mexico","Pyroclastic cone(s)","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",5783287,3860,4,19.85,-101.75,1
341090,"Popocat_petl","Mexico","M_xico and Central America","Mexico","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",634054,5426,2.16666666666667,19.023,-98.622,6
341120,"Chich?n, El","Mexico","M_xico and Central America","Mexico","Lava dome(s)","Trachyandesite / Basaltic trachy-andesite",NA,143015,1150,5,17.36,-93.228,1
342030,"Santa Mar?a","Guatemala","M_xico and Central America","Guatemala","Stratovolcano","Dacite","Andesite / Basaltic Andesite",1259600,3772,4.5,14.756,-91.552,2
342040,"Almolonga","Guatemala","M_xico and Central America","Guatemala","Stratovolcano","Dacite","Andesite / Basaltic Andesite",1126942,3173,2,14.797,-91.519,2
342080,"Acatenango","Guatemala","M_xico and Central America","Guatemala","Stratovolcano","Andesite / Basaltic Andesite","Dacite",1042836,3976,3,14.501,-90.876,1
342090,"Fuego","Guatemala","M_xico and Central America","Guatemala","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",1016339,3763,2.7037037037037,14.473,-90.88,27
342110,"Pacaya","Guatemala","M_xico and Central America","Guatemala","Complex","Basalt / Picro-Basalt","Dacite",2454482,2552,2.2,14.381,-90.601,10
343020,"Santa Ana","El Salvador","M_xico and Central America","El Salvador and Honduras","Stratovolcano","Andesite / Basaltic Andesite","Trachyandesite / Basaltic trachy-andesite",1240131,2381,2.33333333333333,13.853,-89.63,3
343030,"Izalco","El Salvador","M_xico and Central America","El Salvador and Honduras","Stratovolcano","Andesite / Basaltic Andesite",NA,1272308,1950,1.8125,13.813,-89.633,16
343060,"Ilopango","El Salvador","M_xico and Central America","El Salvador and Honduras","Caldera","Dacite","Andesite / Basaltic Andesite",2948989,450,3,13.672,-89.053,1
343100,"San Miguel","El Salvador","M_xico and Central America","El Salvador and Honduras","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",796482,2130,1.5,13.434,-88.269,8
343120,"Conchag?ita","El Salvador","M_xico and Central America","El Salvador and Honduras","Stratovolcano","Basalt / Picro-Basalt",NA,172113,505,1,13.229,-87.767,1
344010,"Cosig?ina","Nicaragua","M_xico and Central America","Nicaragua","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",18876,872,5,12.98,-87.57,1
344020,"San Crist?bal","Nicaragua","M_xico and Central America","Nicaragua","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",351227,1745,1.33333333333333,12.702,-87.004,18
344040,"Telica","Nicaragua","M_xico and Central America","Nicaragua","Stratovolcano(es)","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",327294,1061,1.38461538461538,12.602,-86.845,13
344070,"Negro, Cerro","Nicaragua","M_xico and Central America","Nicaragua","Pyroclastic cone(s)","Basalt / Picro-Basalt",NA,296320,728,2.375,12.506,-86.702,16
344080,"Pilas, Las","Nicaragua","M_xico and Central America","Nicaragua","Complex","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",299481,1088,2,12.495,-86.688,1
344090,"Momotombo","Nicaragua","M_xico and Central America","Nicaragua","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",98583,1297,2,12.422,-86.54,1
344100,"Masaya","Nicaragua","M_xico and Central America","Nicaragua","Caldera","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",1914707,635,1.21428571428571,11.984,-86.161,14
344120,"Concepci?n","Nicaragua","M_xico and Central America","Nicaragua","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",92378,1700,1.61538461538462,11.538,-85.622,13
345020,"Rinc?n de la Vieja","Costa Rica","M_xico and Central America","Costa Rica","Complex","Andesite / Basaltic Andesite","Rhyolite",78668,1916,1.33333333333333,10.83,-85.324,9
345030,"Miravalles","Costa Rica","M_xico and Central America","Costa Rica","Stratovolcano","Andesite / Basaltic Andesite","Rhyolite",61875,2028,1,10.748,-85.153,1
345033,"Arenal","Costa Rica","M_xico and Central America","Costa Rica","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",96512,1670,2,10.463,-84.703,1
345040,"Po?s","Costa Rica","M_xico and Central America","Costa Rica","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",950796,2708,1.4,10.2,-84.233,15
345060,"Iraz?","Costa Rica","M_xico and Central America","Costa Rica","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",1667528,3432,2.2,9.979,-83.852,5
345070,"Turrialba","Costa Rica","M_xico and Central America","Costa Rica","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",672428,3340,1.75,10.025,-83.767,4
351020,"Ruiz, Nevado del","Colombia","South America","Colombia","Stratovolcano","Andesite / Basaltic Andesite","Dacite",507608,5279,2.33333333333333,4.892,-75.324,3
351050,"Huila, Nevado del","Colombia","South America","Colombia","Stratovolcano","Andesite / Basaltic Andesite","Dacite",56737,5364,3,2.93,-76.03,2
351060,"Purac_","Colombia","South America","Colombia","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",335698,4650,2,2.32,-76.4,3
351080,"Galeras","Colombia","South America","Colombia","Complex","Andesite / Basaltic Andesite",NA,630777,4276,2.1875,1.22,-77.37,16
351100,"Cumbal","Colombia","South America","Colombia","Stratovolcano","Andesite / Basaltic Andesite","Dacite",244853,4764,2,0.95,-77.87,1
352010,"Reventador","Ecuador","South America","Ecuador","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",4403,3562,2.8,-0.077,-77.656,5
352020,"Guagua Pichincha","Ecuador","South America","Ecuador","Stratovolcano","Andesite / Basaltic Andesite","Dacite",2064475,4784,2,-0.171,-78.598,9
352050,"Cotopaxi","Ecuador","South America","Ecuador","Stratovolcano","Andesite / Basaltic Andesite","Dacite",152139,5911,2.22222222222222,-0.677,-78.436,9
352080,"Tungurahua","Ecuador","South America","Ecuador","Stratovolcano","Andesite / Basaltic Andesite","Dacite",183640,5023,3.25,-1.467,-78.442,4
352090,"Sangay","Ecuador","South America","Ecuador","Stratovolcano","Andesite / Basaltic Andesite",NA,15130,5286,3,-2.005,-78.341,1
353010,"Fernandina","Ecuador","South America","Galapagos Islands","Shield","Basalt / Picro-Basalt",NA,208,1476,2.1,-0.37,-91.55,10
353020,"Wolf","Ecuador","South America","Galapagos Islands","Shield","Basalt / Picro-Basalt",NA,237,1710,1.2,0.02,-91.35,5
353030,"Darwin","Ecuador","South America","Galapagos Islands","Shield","Basalt / Picro-Basalt",NA,343,1330,2,-0.18,-91.28,1
353050,"Negra, Sierra","Ecuador","South America","Galapagos Islands","Shield","Basalt / Picro-Basalt",NA,983,1124,3,-0.83,-91.17,2
353060,"Azul, Cerro","Ecuador","South America","Galapagos Islands","Shield","Basalt / Picro-Basalt",NA,314,1640,1.8,-0.92,-91.408,5
354010,"Misti, El","Peru","South America","Peru","Stratovolcano","Andesite / Basaltic Andesite","Dacite",918280,5822,1,-16.294,-71.409,1
354020,"Ubinas","Peru","South America","Peru","Stratovolcano","Andesite / Basaltic Andesite","Trachyandesite / Basaltic trachy-andesite",14607,5672,2,-16.355,-70.903,3
354030,"Huaynaputina","Peru","South America","Peru","Stratovolcano","Dacite",NA,9153,4850,6,-16.608,-70.85,1
355040,"Irruputuncu","Chile-Bolivia","South America","Northern Chile, Bolivia and Argentina","Stratovolcano","Andesite / Basaltic Andesite",NA,2852,5163,2,-20.73,-68.55,1
355100,"L?scar","Chile","South America","Northern Chile, Bolivia and Argentina","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",570,5592,2.08333333333333,-23.37,-67.73,12
355100,"Liscar","Chile","South America","Northern Chile, Bolivia and Argentina","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",570,5592,1,-23.37,-67.73,1
357010,"Tupungatito","Chile-Argentina","South America","Central Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite","Dacite",6161,5660,1.75,-33.425,-69.797,4
357021,"Maipo","Chile-Argentina","South America","Central Chile and Argentina","Caldera","Trachyandesite / Basaltic trachy-andesite","Dacite",8221,5323,2,-34.164,-69.832,1
357040,"Planch?n-Peteroa","Chile","South America","Central Chile and Argentina","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",1345,3977,2,-35.223,-70.568,4
357070,"Chill?n, Nevados de","Chile","South America","Central Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite","Dacite",3733,3212,2,-36.863,-71.377,2
357080,"Antuco","Chile","South America","Central Chile and Argentina","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",3872,2979,2.5,-37.406,-71.349,2
357090,"Copahue","Chile-Argentina","South America","Central Chile and Argentina","Stratovolcano","Trachybasalt / Tephrite Basanite","Andesite / Basaltic Andesite",3042,2953,2,-37.856,-71.183,2
357100,"Lonquimay","Chile","South America","Central Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite","Dacite",13635,2865,3,-38.377,-71.58,1
357110,"Llaima","Chile","South America","Central Chile and Argentina","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",18568,3125,2.05,-38.692,-71.729,20
357120,"Villarrica","Chile","South America","Central Chile and Argentina","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",35118,2847,1.67741935483871,-39.42,-71.93,31
357130,"Mocho-Choshuenco","Chile","South America","Central Chile and Argentina","Stratovolcano(es)","Andesite / Basaltic Andesite","Dacite",16633,2422,2,-39.927,-72.027,1
357140,"Carr?n-Los Venados","Chile","South America","Central Chile and Argentina","Pyroclastic cone(s)","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",9001,1114,3,-40.35,-72.07,2
357150,"Puyehue-Cord?n Caulle","Chile","South America","Central Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite","Dacite",7163,2236,3,-40.59,-72.117,3
358010,"Osorno","Chile","South America","Southern Chile and Argentina","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",11964,2652,2.5,-41.1,-72.493,2
358020,"Calbuco","Chile","South America","Southern Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite",NA,32265,2003,3,-41.326,-72.614,4
358040,"Minchinm?vida","Chile","South America","Southern Chile and Argentina","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",7989,2404,0,-42.793,-72.439,1
358041,"Chait_n","Chile","South America","Southern Chile and Argentina","Caldera","Rhyolite",NA,9280,1122,4,-42.833,-72.646,1
358057,"Hudson, Cerro","Chile","South America","Southern Chile and Argentina","Stratovolcano","Basalt / Picro-Basalt","Trachyandesite / Basaltic trachy-andesite",28,1905,NA,-45.9,-72.97,3
358060,"Lautaro","Chile","South America","Southern Chile and Argentina","Stratovolcano","Dacite",NA,46,3607,2,-49.02,-73.55,1
358090,"Fueguino","Chile","South America","Southern Chile and Argentina","Lava dome(s)","Andesite / Basaltic Andesite",NA,294,150,2,-54.95,-70.25,1
360050,"Soufri?re Hills","United Kingdom","West Indies","West Indies","Stratovolcano","Andesite / Basaltic Andesite","Dacite",9458,915,3,16.72,-62.18,3
360060,"Soufri?re Guadeloupe","France","West Indies","West Indies","Stratovolcano","Andesite / Basaltic Andesite","Dacite",256899,1467,1.75,16.044,-61.664,4
360101,"Watt, Morne","Dominica","West Indies","West Indies","Stratovolcano(es)","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",63178,1224,1.5,15.307,-61.305,2
360120,"Pel_e","France","West Indies","West Indies","Stratovolcano","Andesite / Basaltic Andesite",NA,382633,1394,3,14.809,-61.165,3
360150,"Soufri?re St. Vincent","Saint Vincent and the Grenadines","West Indies","West Indies","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",103882,1220,2.5,13.33,-61.18,6
360160,"Kick 'em Jenny","Grenada","West Indies","West Indies","Submarine","Basalt / Picro-Basalt",NA,72786,-185,0.0909090909090909,12.3,-61.64,11
371020,"Reykjanes","Iceland","Iceland and Arctic Ocean","Iceland (southwestern)","Crater rows","Basalt / Picro-Basalt",NA,15542,230,2,63.88,-22.5,2
372010,"Vestmannaeyjar","Iceland","Iceland and Arctic Ocean","Iceland (southern)","Submarine","Basalt / Picro-Basalt",NA,2188,279,3,63.43,-20.28,2
372020,"Eyjafjallaj_kull","Iceland","Iceland and Arctic Ocean","Iceland (southern)","Stratovolcano","Basalt / Picro-Basalt","Trachyandesite / Basaltic trachy-andesite",786,1666,3,63.63,-19.62,2
372030,"Katla","Iceland","Iceland and Arctic Ocean","Iceland (southern)","Subglacial","Basalt / Picro-Basalt","Rhyolite",473,1512,4.33333333333333,63.63,-19.05,6
372070,"Hekla","Iceland","Iceland and Arctic Ocean","Iceland (southern)","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",298,1491,3.11111111111111,63.98,-19.7,9
373010,"Gr?msv_tn","Iceland","Iceland and Arctic Ocean","Iceland (northeastern)","Caldera","Basalt / Picro-Basalt",NA,0,1725,NA,64.42,-17.33,10
373030,"B?rdarbunga","Iceland","Iceland and Arctic Ocean","Iceland (northeastern)","Stratovolcano","Basalt / Picro-Basalt","Rhyolite",0,2009,2,64.63,-17.53,3
373060,"Askja","Iceland","Iceland and Arctic Ocean","Iceland (northeastern)","Stratovolcano","Basalt / Picro-Basalt",NA,0,1516,3.5,65.03,-16.75,2
373080,"Krafla","Iceland","Iceland and Arctic Ocean","Iceland (northeastern)","Caldera","Basalt / Picro-Basalt","Rhyolite",1258,818,0.666666666666667,65.73,-16.78,9
374010,"?raefaj_kull","Iceland","Iceland and Arctic Ocean","Iceland (southeastern)","Stratovolcano","Basalt / Picro-Basalt","Rhyolite",367,2119,4.5,64,-16.65,2
376010,"Jan Mayen","Norway","Iceland and Arctic Ocean","Atlantic Ocean (Jan Mayen)","Stratovolcano","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",0,2277,1.5,71.08,-8.17,2
382010,"Fayal","Portugal","Atlantic Ocean","Azores","Stratovolcano","Andesite / Basaltic Andesite","Basalt / Picro-Basalt",24414,1043,2,38.6,-28.73,2
382020,"Pico","Portugal","Atlantic Ocean","Azores","Stratovolcano","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",31521,2351,2,38.47,-28.4,1
382030,"San Jorge","Portugal","Atlantic Ocean","Azores","Fissure vent","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",16290,1053,1.2,38.65,-28.08,5
382050,"Terceira","Portugal","Atlantic Ocean","Azores","Stratovolcano(es)","Basalt / Picro-Basalt","Trachyte / Trachyandesite",55425,1023,2.5,38.73,-27.32,2
382070,"Don Joao de Castro Bank","Portugal","Atlantic Ocean","Azores","Submarine","Basalt / Picro-Basalt",NA,0,-13,3,38.23,-26.63,1
382080,"Sete Cidades","Portugal","Atlantic Ocean","Azores","Stratovolcano","Trachyte / Trachyandesite","Trachybasalt / Tephrite Basanite",102848,856,2.33333333333333,37.87,-25.78,3
382081,"Picos Volcanic System","Portugal","Atlantic Ocean","Azores","Pyroclastic cone(s)","Trachybasalt / Tephrite Basanite",NA,123990,350,2,37.78,-25.67,1
382090,"Agua de Pau","Portugal","Atlantic Ocean","Azores","Stratovolcano","Trachyte / Trachyandesite","Trachybasalt / Tephrite Basanite",113131,947,3.5,37.77,-25.47,2
382100,"Furnas","Portugal","Atlantic Ocean","Azores","Stratovolcano","Trachyte / Trachyandesite","Basalt / Picro-Basalt",87865,805,5,37.77,-25.32,1
383010,"La Palma","Spain","Atlantic Ocean","Canary Islands","Stratovolcano(es)","Trachybasalt / Tephrite Basanite","Phono-tephrite /  Tephri-phonolite",55922,2426,2,28.57,-17.83,6
383020,"Hierro","Spain","Atlantic Ocean","Canary Islands","Shield","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",20321,1500,NA,27.73,-18.03,1
383030,"Tenerife","Spain","Atlantic Ocean","Canary Islands","Stratovolcano","Phonolite","Trachybasalt / Tephrite Basanite",337660,3715,2.25,28.271,-16.641,4
383060,"Lanzarote","Spain","Atlantic Ocean","Canary Islands","Fissure vent(s)","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",164123,670,2.5,29.03,-13.63,2
384010,"Fogo","Cape Verde","Atlantic Ocean","Cape Verde Islands","Stratovolcano","Foidite","Trachybasalt / Tephrite Basanite",37650,2829,2,14.95,-24.35,7
386010,"Tristan da Cunha","United Kingdom","Atlantic Ocean","Atlantic Ocean (southern)","Shield","Trachybasalt / Tephrite Basanite","Basalt / Picro-Basalt",12,2060,2,-37.092,-12.28,1
386011,"Nightingale Island","United Kingdom","Atlantic Ocean","Atlantic Ocean (southern)","Stratovolcano","Trachyte / Trachyandesite","Trachyandesite / Basaltic trachy-andesite",27,365,0,-37.42,-12.48,1
390030,"Deception Island","Antarctica","Antarctica","Antarctica and South Sandwich Islands","Caldera","Basalt / Picro-Basalt","Trachybasalt / Tephrite Basanite",0,602,3,-63.001,-60.652,1
390080,"Bristol Island","United Kingdom","Antarctica","Antarctica and South Sandwich Islands","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",0,1100,2.5,-59.063,-26.587,2
390081,"Montagu Island","United Kingdom","Antarctica","Antarctica and South Sandwich Islands","Shield","Basalt / Picro-Basalt",NA,0,1370,1,-58.42,-26.33,1
390090,"Michael","United Kingdom","Antarctica","Antarctica and South Sandwich Islands","Stratovolcano","Basalt / Picro-Basalt","Andesite / Basaltic Andesite",0,990,0,-57.787,-26.46,3
